2Years,age,30_59days,DebtRatio,90days,60_89days,MonthlyIncome,Dependents,Debt
No,59,0,2.094595,0,0,2515.0,0,5267.906425
Yes,58,1,0.14514200000000002,1,0,2500.0,0,362.8550000000001
No,61,0,0.0,0,0,7085.0,1,0.0
Yes,43,0,1.4168610000000001,0,0,3000.0,0,4250.5830000000005
No,64,0,0.368246,0,1,4811.0,0,1771.6315060000002
Yes,47,1,0.5042989999999999,3,0,5000.0,2,2521.495
Yes,58,1,0.19515,1,0,7916.0,1,1544.8074
No,78,0,0.006672,0,0,2397.0,0,15.992784
Yes,51,2,0.0045,0,0,36000.0,0,162.0
Yes,66,0,0.417904,0,1,4780.0,0,1997.58112
No,31,0,0.136907,0,0,2928.0,0,400.863696
No,78,0,0.008555,0,0,2220.0,0,18.9921
No,23,98,0.0,98,98,6452.263399231191,0,0.0
No,56,0,126.0,1,0,6452.263399231191,0,812985.1883031301
No,83,0,0.146319,0,0,4250.0,0,621.8557500000001
Yes,41,2,0.16356199999999999,0,0,9500.0,2,1553.839
No,52,0,0.001852,0,0,8100.0,0,15.001199999999999
No,57,0,0.823987,0,0,1800.0,0,1483.1766
No,25,0,0.182396,0,0,3146.0,2,573.817816
Yes,48,8,3082.0,1,2,6452.263399231191,0,19885875.796430532
Yes,53,1,0.381117,0,0,13016.0,4,4960.618872
Yes,67,3,1.41014,4,1,4200.0,0,5922.588
No,39,0,0.468056,0,0,10846.0,1,5076.535376000001
Yes,56,0,2132.0,0,0,6452.263399231191,0,13756225.567160899
No,45,0,0.432022,0,0,5920.0,4,2557.57024
No,39,0,0.545593,0,0,4583.0,0,2500.452719
No,68,0,0.255769,0,0,10833.0,0,2770.745577
No,59,0,0.350526,0,0,11593.0,1,4063.647918
No,54,0,953.0,0,0,6452.263399231191,0,6149007.019467325
No,63,1,0.134183,0,0,6900.0,0,925.8627
No,39,0,1.664668,0,0,2000.0,0,3329.3360000000002
No,59,1,0.8358459999999999,1,0,596.0,0,498.1642159999999
Yes,54,2,1762.0,0,0,6452.263399231191,1,11368888.10944536
No,37,0,0.31564000000000003,0,0,12000.0,2,3787.6800000000003
Yes,28,0,68.0,0,0,6452.263399231191,0,438753.911147721
No,40,0,0.09087,0,0,4643.0,2,421.90941000000004
Yes,54,1,0.268913,0,1,3026.0,1,813.7307380000001
Yes,41,0,0.19027,2,6,3000.0,1,570.81
No,60,0,40.0,0,0,6452.263399231191,0,258090.53596924763
No,31,0,0.134179,0,0,2600.0,0,348.86539999999997
No,51,0,1.11785,0,0,1450.0,1,1620.8825
No,60,0,0.42671899999999996,0,0,4550.0,0,1941.57145
No,51,0,0.31613,0,0,18833.0,0,5953.67629
No,69,0,1248.0,0,0,0.0,1,0.0
No,58,0,54.0,0,0,6452.263399231191,0,348422.22355848434
No,66,0,0.264484,0,0,3175.0,0,839.7367
Yes,65,0,1.403465,1,0,2423.0,0,3400.595695
No,86,0,18.0,0,0,6452.263399231191,0,116140.74118616144
Yes,40,1,0.405833,1,0,4868.0,2,1975.595044
Yes,51,0,0.287639,1,1,3785.0,0,1088.713615
No,33,0,0.067374,0,0,6500.0,2,437.93100000000004
No,45,1,0.611056,0,0,7000.0,1,4277.392000000001
No,45,1,0.635668,0,0,6666.0,2,4237.362888
Yes,32,1,0.507437,0,0,4033.0,0,2046.4934210000001
No,58,0,0.95342,0,0,4400.0,1,4195.048
No,61,0,0.646335,0,0,1950.0,0,1260.35325
No,47,0,0.49812399999999996,0,0,5329.0,3,2654.5027959999998
No,82,0,175.0,0,0,6452.263399231191,0,1129146.0948654586
Yes,74,1,1.157397,0,0,2750.0,0,3182.84175
No,62,0,0.40031300000000003,0,0,3199.0,0,1280.6012870000002
No,51,0,2.210114,0,0,1660.0,0,3668.78924
No,37,0,0.575943,0,0,3923.0,1,2259.424389
No,69,0,1.091272,0,0,1500.0,0,1636.9080000000001
Yes,35,0,0.304462,0,0,2666.0,2,811.695692
No,34,0,0.008734,1,0,2747.0,4,23.992298
Yes,44,4,0.388193,1,1,13500.0,2,5240.605500000001
No,36,1,0.438104,0,0,10250.0,2,4490.566
Yes,58,0,0.744167,0,0,5014.0,0,3731.253338
Yes,44,0,2591.0,0,1,6452.263399231191,0,16717814.467408016
No,52,0,0.072386,0,0,5000.0,3,361.93
No,79,0,0.005852,0,0,3075.0,0,17.9949
No,71,0,0.101469,0,0,5853.0,0,593.898057
No,47,0,0.786434,0,0,6250.0,0,4915.2125
No,39,0,0.7515,0,0,3500.0,3,2630.25
No,40,3,0.5247069999999999,0,0,5200.0,1,2728.4763999999996
Yes,60,2,521.0,0,0,6452.263399231191,0,3361629.2309994507
No,45,0,0.17088299999999998,0,0,10000.0,1,1708.8299999999997
No,70,0,0.054449000000000004,0,0,1505.0,0,81.945745
Yes,54,0,0.527795,0,0,1600.0,1,844.472
No,49,0,0.465804,0,0,5950.0,2,2771.5338
No,48,1,0.344596,0,0,4024.0,1,1386.6543040000001
No,52,0,0.006642,0,0,121200.0,0,805.0104
Yes,47,2,0.45364099999999996,1,4,7333.0,0,3326.5494529999996
Yes,25,0,0.10109299999999999,0,0,1463.0,1,147.899059
No,38,1,0.435871,0,0,7632.0,2,3326.567472
Yes,53,0,2829.0,0,0,6452.263399231191,0,18253453.15642504
No,36,0,0.05322,0,0,9300.0,4,494.946
No,62,1,0.375348,1,2,6100.0,0,2289.6228
Yes,28,0,0.0,0,0,2925.0,0,0.0
No,44,1,0.555111,0,1,4000.0,0,2220.444
No,63,0,183.0,0,0,6452.263399231191,0,1180764.202059308
No,36,0,0.496638,1,4,3420.0,2,1698.50196
No,53,0,0.192629,0,0,14000.0,1,2696.806
Yes,42,0,5152.0,0,0,6452.263399231191,0,33242061.032839097
No,49,1,0.383238,0,0,5750.0,0,2203.6185
No,63,2,0.191649,0,0,6250.0,1,1197.80625
No,66,0,0.08833300000000001,0,0,4833.0,0,426.91338900000005
No,60,0,2102.0,0,0,6452.263399231191,0,13562657.665183963
No,54,0,0.5624100000000001,0,1,7666.0,0,4311.435060000001
No,43,0,0.257282,0,0,6968.0,0,1792.740976
Yes,33,0,0.28641700000000003,1,0,5079.0,0,1454.7119430000002
No,46,0,0.188362,0,0,3333.0,0,627.810546
Yes,31,0,0.0,2,0,1600.0,0,0.0
No,64,0,7335.0,0,0,6452.263399231191,0,47327352.03336079
No,84,0,0.266361,0,0,4583.0,0,1220.732463
Yes,43,4,0.5539649999999999,3,0,4400.0,2,2437.446
No,68,1,0.543491,0,0,5000.0,0,2717.455
Yes,36,0,0.0,2,0,6452.263399231191,0,0.0
Yes,28,1,541.0,0,2,6452.263399231191,0,3490674.498984074
Yes,29,0,0.21977199999999997,0,1,2720.0,2,597.7798399999999
No,64,0,1715.0,0,0,6452.263399231191,0,11065631.729681494
No,27,0,0.149328,0,0,3200.0,0,477.84959999999995
No,68,0,123.0,0,0,6452.263399231191,0,793628.3981054365
Yes,50,98,0.0,98,98,1350.0,0,0.0
No,63,0,0.44576400000000005,0,0,1852.0,0,825.5549280000001
No,74,0,0.478595,0,0,7147.0,0,3420.518465
No,42,0,0.423238,0,0,7900.0,1,3343.5802
No,49,0,0.25068,0,0,6250.0,0,1566.75
No,21,98,0.0,98,98,6452.263399231191,0,0.0
Yes,24,0,0.048207,0,0,1700.0,0,81.9519
Yes,44,0,0.790549,0,0,4549.0,1,3596.2074009999997
Yes,49,2,0.305137,1,1,7163.0,3,2185.696331
Yes,48,5,0.15828599999999998,0,1,6999.0,3,1107.8437139999999
No,69,0,0.010181,0,0,11000.0,1,111.99100000000001
No,32,0,0.10189,0,0,10000.0,0,1018.9
No,44,1,0.149424,0,0,7200.0,3,1075.8528000000001
No,38,1,0.243279,0,0,4500.0,3,1094.7555
Yes,27,0,0.0,0,0,2400.0,1,0.0
No,66,0,911.0,0,0,6452.263399231191,0,5878011.956699615
No,69,0,0.024197999999999997,0,0,1900.0,0,45.97619999999999
No,75,0,659.0,0,0,6452.263399231191,0,4252041.580093355
No,61,0,0.440384,0,0,4377.0,0,1927.560768
No,55,1,0.5091760000000001,0,0,2560.0,0,1303.4905600000002
No,49,1,0.0023989999999999997,0,0,2500.0,0,5.997499999999999
No,25,0,0.123251,0,0,1500.0,0,184.8765
Yes,34,4,2684.0,0,0,6452.263399231191,0,17317874.963536516
No,53,0,0.360451,0,0,4166.0,0,1501.638866
No,26,98,0.0,98,98,2000.0,0,0.0
No,77,0,0.0018239999999999999,0,0,10416.0,0,18.998784
Yes,66,0,4562.0,0,0,6452.263399231191,0,29435225.627292693
No,33,0,0.308527,0,0,7000.0,1,2159.689
Yes,60,1,0.23838099999999998,0,0,12500.0,0,2979.7625
No,34,0,0.000225,0,0,8888.0,1,1.9998
Yes,49,1,0.47360699999999994,0,1,6800.0,2,3220.5275999999994
No,41,0,306.5,0,0,1.0,4,306.5
No,55,0,0.563525,0,0,7374.0,1,4155.43335
No,61,0,0.35036999999999996,0,0,23400.0,1,8198.658
No,82,0,0.376161,0,0,3120.0,0,1173.6223200000002
Yes,26,1,0.35441100000000003,1,5,4000.0,0,1417.6440000000002
Yes,57,1,2222.0,1,0,6452.263399231191,0,14336929.273091707
No,54,0,0.182733,0,0,7250.0,1,1324.8142500000001
No,87,0,0.52861,0,0,1100.0,0,581.471
No,27,0,0.291491,0,0,4500.0,1,1311.7095
No,56,0,0.224964,0,0,6200.0,1,1394.7768
No,50,1,0.316222,0,0,8999.0,2,2845.681778
No,36,0,0.006663,0,0,1800.0,1,11.9934
No,31,1,0.106322,0,0,15800.0,1,1679.8876
No,54,0,0.839161,0,0,1000.0,0,839.1610000000001
Yes,66,0,0.001196,0,1,9200.0,0,11.0032
No,62,1,0.550064,0,0,7000.0,0,3850.448
Yes,39,4,453.0,4,0,6452.263399231191,0,2922875.3198517296
No,34,0,3.3910730000000004,0,0,1500.0,0,5086.6095000000005
Yes,55,1,2776.0,0,0,6452.263399231191,0,17911483.196265787
No,32,0,0.95314,0,0,3200.0,1,3050.048
No,48,2,514.0,0,0,6452.263399231191,1,3316463.3872048324
No,57,0,0.14397000000000001,0,0,11036.0,0,1588.8529200000003
No,34,0,0.127145,0,0,6000.0,3,762.87
No,60,1,0.469081,1,1,4915.0,1,2305.533115
No,23,0,2.0,0,0,6452.263399231191,0,12904.526798462382
No,29,1,0.221656,0,0,3333.0,0,738.779448
No,70,0,1470.0,0,0,1.0,1,1470.0
No,50,1,0.357898,0,0,3785.0,1,1354.64393
Yes,42,1,0.7162689999999999,7,0,1800.0,0,1289.2841999999998
No,35,0,0.30997199999999997,0,0,11000.0,1,3409.6919999999996
Yes,47,2,0.13566,4,0,5100.0,2,691.866
No,53,0,0.661533,0,0,2726.0,3,1803.338958
Yes,50,6,0.772234,3,2,10962.0,4,8465.229108
No,29,0,0.171254,0,0,4250.0,0,727.8294999999999
Yes,54,0,0.012332,0,1,2756.0,0,33.986992
Yes,35,1,1.5337129999999999,0,0,2105.0,2,3228.4658649999997
No,43,0,0.102297,0,0,4134.0,4,422.895798
No,66,0,2180.0,0,0,6452.263399231191,0,14065934.210323997
Yes,71,0,0.785251,0,0,7701.0,1,6047.2179510000005
No,58,0,0.485874,0,0,8600.0,0,4178.5163999999995
No,41,0,2006.0,0,0,6452.263399231191,0,12943240.37885777
No,54,0,0.044866,0,0,45000.0,0,2018.97
Yes,33,1,0.24221700000000002,1,0,3500.0,0,847.7595
No,42,0,0.065848,0,0,7000.0,0,460.93600000000004
No,35,0,0.160199,0,0,3813.0,3,610.838787
No,63,0,0.063249,0,0,5343.0,0,337.939407
Yes,60,0,0.275266,3,0,2255.0,0,620.72483
No,51,0,0.363818,0,0,2000.0,0,727.636
Yes,36,2,0.277455,3,1,3960.0,2,1098.7218
No,55,0,0.32606999999999997,0,0,3900.0,0,1271.6729999999998
Yes,27,0,0.153156,0,0,3120.0,0,477.84671999999995
No,71,0,0.213993,0,0,5116.0,0,1094.788188
Yes,43,2,0.634815,0,0,5870.0,4,3726.36405
No,63,0,0.290697,0,0,12500.0,0,3633.7124999999996
Yes,45,4,1.9292080000000003,1,1,2019.0,0,3895.0709520000005
No,40,0,510.0,0,0,6452.263399231191,0,3290654.3336079074
Yes,49,1,0.594605,1,0,5300.0,3,3151.4065
No,38,0,0.274496,0,0,5500.0,0,1509.728
No,41,0,0.024673,0,0,2066.0,0,50.974418
Yes,57,0,0.971566,0,0,5415.0,0,5261.02989
No,60,0,655.0,0,0,6452.263399231191,0,4226232.52649643
No,63,0,0.8320559999999999,0,0,3000.0,0,2496.1679999999997
No,42,0,77.0,0,0,6452.263399231191,0,496824.2817408017
No,75,0,20.0,0,0,6452.263399231191,0,129045.26798462382
No,42,0,0.777623,0,0,5040.0,2,3919.2199199999995
No,34,1,0.40294,1,1,4625.0,0,1863.5975
No,55,1,0.33928200000000003,0,0,13000.0,2,4410.666
Yes,49,4,0.386367,0,0,7862.0,2,3037.617354
No,76,0,0.013994,0,0,2500.0,0,34.985
Yes,40,0,0.30966,0,0,45000.0,1,13934.699999999999
No,56,1,0.054732,0,0,8166.0,0,446.94151200000005
No,76,0,0.439122,0,0,500.0,0,219.561
Yes,38,0,0.0,0,0,1000.0,1,0.0
No,68,1,0.28989299999999996,0,0,7350.0,0,2130.7135499999995
No,62,0,0.35081,0,0,7838.0,0,2749.64878
No,53,0,0.71991,0,0,5333.0,1,3839.2800300000004
No,42,0,0.7976260000000001,0,0,1600.0,0,1276.2016
No,53,0,4177.0,0,0,6452.263399231191,0,26951104.218588687
No,57,0,0.157574,0,0,4600.0,1,724.8403999999999
No,27,0,12.5,0,0,7.0,0,87.5
No,33,0,0.063587,0,0,5000.0,0,317.935
No,57,0,0.59336,0,0,2800.0,0,1661.408
Yes,61,2,0.354113,3,0,6175.0,0,2186.647775
No,59,0,0.903209,1,0,1900.0,0,1716.0971000000002
No,51,0,0.9293950000000001,0,0,4333.0,2,4027.0685350000003
Yes,33,0,0.237012,0,0,4176.0,0,989.762112
Yes,42,2,0.603777,0,0,5400.0,2,3260.3958000000002
No,46,0,0.330977,0,0,9900.0,2,3276.6723
Yes,60,1,2.646128,1,2,1200.0,2,3175.3536
No,32,0,0.10466099999999999,0,0,4633.0,1,484.89441299999993
No,47,2,0.728263,0,0,4772.0,2,3475.271036
Yes,37,0,0.21562699999999999,0,0,22000.0,2,4743.794
No,69,0,0.148885,0,0,10000.0,0,1488.85
Yes,40,1,0.31095,0,0,4958.0,1,1541.6901
No,39,0,6003.0,0,0,6452.263399231191,0,38732937.18558484
Yes,51,2,1.0685149999999999,0,1,3750.0,0,4006.9312499999996
Yes,38,0,0.975806,0,0,2975.0,0,2903.02285
Yes,43,0,0.969556,0,0,4072.0,0,3948.032032
Yes,26,0,1.92392,0,0,1550.0,0,2982.076
No,32,0,0.229787,0,0,2584.0,4,593.769608
No,64,0,0.207159,0,0,5000.0,0,1035.795
No,64,0,0.307615,0,0,6000.0,3,1845.69
Yes,43,0,0.417264,0,0,6000.0,0,2503.5840000000003
Yes,55,1,0.563908,0,0,3950.0,0,2227.4366
Yes,60,0,0.41773299999999997,0,0,8830.0,0,3688.5823899999996
No,47,0,3221.0,0,0,6452.263399231191,0,20782740.408923667
No,38,0,0.18624100000000002,0,0,6700.0,0,1247.8147000000001
Yes,38,1,0.023324,0,0,2400.0,2,55.9776
Yes,63,1,4206.0,0,1,6452.263399231191,0,27138219.85716639
No,32,0,0.600966,2,1,6006.0,1,3609.401796
No,29,0,0.164292,0,0,3438.0,1,564.8358959999999
Yes,35,2,0.793259,1,2,2877.0,0,2282.2061430000003
No,46,0,0.27832199999999996,0,0,9700.0,1,2699.7233999999994
Yes,28,2,0.270332,1,0,2200.0,0,594.7304
No,78,0,2.0,0,0,6452.263399231191,0,12904.526798462382
No,76,0,3548.0,0,0,6452.263399231191,0,22892630.540472265
No,66,0,64.0,0,0,6452.263399231191,0,412944.85755079624
No,51,1,0.496417,0,0,6000.0,3,2978.502
Yes,45,0,0.138312,0,0,8046.0,2,1112.858352
No,54,0,0.40989200000000003,0,0,3800.0,2,1557.5896
No,72,0,0.387594,0,0,2401.0,0,930.613194
No,53,1,3381.0,0,0,6452.263399231191,0,21815102.55280066
No,74,0,0.20818499999999998,0,0,5326.0,1,1108.7933099999998
Yes,35,1,0.426429,0,0,6666.0,2,2842.575714
Yes,23,98,0.0,98,98,6452.263399231191,0,0.0
No,53,1,0.879524,0,0,4365.0,2,3839.12226
No,33,0,0.345219,0,0,6954.0,2,2400.652926
Yes,60,1,0.104137,1,0,4253.0,0,442.894661
Yes,54,0,0.402727,0,0,4620.0,2,1860.59874
No,52,0,0.39625900000000003,0,1,5720.0,0,2266.6014800000003
No,57,0,0.12308399999999999,0,0,13632.0,0,1677.8810879999999
No,73,0,536.0,0,0,0.0,1,0.0
No,57,0,2543.0,0,0,6452.263399231191,1,16408105.82424492
No,27,0,0.078051,0,0,4432.0,0,345.922032
Yes,33,0,0.26994,0,0,4500.0,3,1214.73
Yes,32,6,0.9190809999999999,0,1,1000.0,0,919.0809999999999
No,76,0,0.009198,0,0,5435.0,0,49.99113
No,59,0,0.17920999999999998,0,0,5088.0,0,911.8204799999999
No,54,0,0.783522,0,0,5473.0,3,4288.215906
No,27,0,0.052392999999999995,0,0,7500.0,0,392.9475
Yes,25,1,0.270758,0,2,3600.0,1,974.7288
No,54,0,0.243839,0,0,9616.0,1,2344.755824
Yes,42,1,0.083564,1,0,3254.0,4,271.917256
Yes,44,1,0.356858,0,0,750.0,0,267.6435
No,44,0,0.8374540000000001,0,0,4933.0,0,4131.160582
No,26,0,0.132747,0,0,2500.0,0,331.8675
Yes,41,0,0.233278,3,1,4200.0,2,979.7676
No,59,0,0.505888,0,0,4500.0,1,2276.496
Yes,53,0,1513.0,0,0,6452.263399231191,1,9762274.523036793
No,40,0,973.0,0,0,6452.263399231191,2,6278052.287451949
Yes,44,0,0.350548,0,0,3833.0,0,1343.650484
Yes,30,0,0.15367,2,1,3500.0,0,537.845
No,30,0,0.25304499999999996,0,0,5417.0,2,1370.744765
Yes,31,1,0.275977,0,2,3300.0,2,910.7240999999999
Yes,59,2,0.000769,1,0,2600.0,0,1.9994
Yes,50,0,990.0,1,1,6452.263399231191,0,6387740.765238879
Yes,61,3,0.656664,0,2,4831.0,0,3172.343784
No,47,0,0.689211,0,0,3104.0,0,2139.310944
No,76,0,0.00312,0,0,4166.0,0,12.99792
Yes,38,0,0.284777,1,0,7166.0,0,2040.711982
No,51,0,0.258196,0,0,7350.0,2,1897.7405999999999
Yes,49,0,0.6499020000000001,0,0,21533.0,0,13994.339766000003
No,28,0,0.121581,0,0,6250.0,0,759.88125
No,39,0,0.26534,0,0,5377.0,1,1426.7331800000002
Yes,59,0,0.400037,0,0,5416.0,0,2166.600392
No,58,0,1559.0,0,0,6452.263399231191,0,10059078.639401427
Yes,31,3,0.735934,4,0,2665.0,0,1961.2641099999998
No,51,0,0.136402,0,0,10600.0,2,1445.8612
No,60,0,7868.0,0,0,6452.263399231191,0,50766408.42515101
Yes,59,0,0.453567,1,0,5200.0,0,2358.5484
Yes,45,1,0.423548,2,2,5800.0,0,2456.5784
Yes,59,1,0.22378699999999999,1,1,5893.0,1,1318.776791
No,50,0,0.418763,0,0,2941.0,0,1231.581983
No,59,0,0.0,0,0,5416.0,0,0.0
Yes,42,0,0.145175,0,0,2279.0,3,330.853825
No,42,0,0.65455,0,0,4208.0,0,2754.3464
No,78,1,3775.0,1,0,6452.263399231191,0,24357294.332097746
No,49,0,0.147971,0,0,3770.0,0,557.8506699999999
Yes,50,0,0.7957029999999999,0,0,10890.0,0,8665.20567
No,67,0,1525.0,0,0,6452.263399231191,0,9839701.683827566
No,62,0,0.54527,0,0,12833.0,0,6997.44991
No,64,0,0.35113,0,0,5000.0,0,1755.65
No,25,0,0.0,0,0,850.0,0,0.0
No,42,0,0.41622600000000004,0,0,7000.0,1,2913.5820000000003
Yes,56,1,0.8795299999999999,0,1,4166.0,2,3664.12198
No,43,0,2.153559,0,0,3750.0,2,8075.84625
No,55,0,0.246135,0,0,9766.0,1,2403.75441
No,41,0,0.17496,0,0,10750.0,3,1880.82
No,55,0,0.45211,0,0,5000.0,0,2260.55
No,67,2,0.759262,0,0,7800.0,2,5922.2436
No,55,0,1.023302,0,0,4505.0,0,4609.975509999999
No,75,1,0.505867,0,0,2300.0,0,1163.4941
Yes,62,1,0.056441,2,1,3135.0,0,176.942535
No,32,0,0.412867,1,1,1600.0,4,660.5871999999999
No,78,0,0.014397,0,0,5000.0,0,71.985
No,57,0,0.491146,0,0,8583.0,0,4215.506118
No,82,0,2.0,0,0,6452.263399231191,0,12904.526798462382
Yes,57,2,0.509574,1,1,4595.0,1,2341.49253
No,47,1,650.0,0,0,6452.263399231191,0,4193971.209500274
Yes,49,1,0.071451,4,1,3162.0,0,225.928062
No,67,0,2715.0,0,0,6452.263399231191,0,17517895.128912684
No,38,0,0.5542699999999999,0,0,7259.0,1,4023.4459299999994
No,55,0,0.7013229999999999,0,0,5443.0,0,3817.3010889999996
No,31,0,0.5884010000000001,0,0,8500.0,0,5001.4085000000005
No,27,2,0.07080700000000001,0,0,4250.0,1,300.92975
No,82,0,0.0,0,0,6452.263399231191,0,0.0
No,37,0,0.374126,0,0,4861.0,2,1818.626486
No,51,0,0.356153,0,0,7361.0,2,2621.642233
Yes,60,6,0.682264,0,0,5000.0,0,3411.3199999999997
Yes,54,2,1.196498,0,0,7480.0,2,8949.805040000001
No,45,0,1815.0,0,0,6452.263399231191,0,11710858.069604613
No,21,0,0.0,0,0,1.0,0,0.0
No,49,0,0.13339700000000002,0,1,8335.0,1,1111.8639950000002
No,43,0,0.23063499999999998,0,0,13800.0,2,3182.763
Yes,40,0,2.688124,0,0,900.0,3,2419.3116
No,64,0,0.137954,0,0,3000.0,0,413.86199999999997
No,57,0,0.299089,0,0,6034.0,1,1804.703026
No,42,0,0.683063,0,0,5000.0,2,3415.315
Yes,41,6,0.506275,0,0,7250.0,3,3670.49375
No,56,0,0.006817,0,0,2786.0,0,18.992162
No,64,0,99.0,0,0,6452.263399231191,0,638774.0765238879
No,50,0,0.29746100000000003,0,0,10750.0,2,3197.7057500000005
No,54,0,1343.0,0,0,6452.263399231191,0,8665389.74516749
Yes,23,0,111.0,2,1,6452.263399231191,0,716201.2373146622
Yes,58,0,0.41052799999999995,0,0,6800.0,0,2791.5903999999996
No,33,0,0.030295999999999997,0,0,8515.0,0,257.97044
No,42,0,5671.0,0,0,6452.263399231191,0,36590785.73704009
No,55,0,0.374363,0,0,10000.0,1,3743.63
Yes,67,1,1.523252,0,0,3160.0,0,4813.47632
No,38,1,0.362213,1,1,3000.0,0,1086.6390000000001
Yes,47,0,0.313666,2,1,3270.0,2,1025.68782
No,51,0,0.33449,0,0,6914.0,2,2312.66386
Yes,35,2,0.364641,0,0,3800.0,0,1385.6358
Yes,61,0,1.7323259999999998,0,0,2050.0,0,3551.2682999999997
Yes,62,0,0.15301900000000002,0,0,7900.0,0,1208.8501
Yes,59,0,1.168944,0,0,3000.0,1,3506.832
Yes,37,0,0.268284,0,0,8900.0,3,2387.7276
Yes,42,1,1.131103,0,0,2600.0,2,2940.8678
Yes,42,0,0.393144,1,0,7350.0,1,2889.6084
No,49,0,0.413862,0,0,12450.0,2,5152.5819
Yes,42,0,0.714066,0,0,1300.0,2,928.2858
Yes,50,3,0.191404,0,0,2000.0,3,382.808
Yes,36,2,0.394921,0,1,5000.0,2,1974.605
Yes,32,2,0.6385930000000001,0,0,3383.0,1,2160.3601190000004
No,60,0,0.198522,2,0,10416.0,2,2067.805152
No,66,0,185.0,0,0,6452.263399231191,0,1193668.7288577703
No,73,0,0.006498,0,0,4000.0,0,25.992
No,60,0,0.267183,0,0,18200.0,0,4862.7306
Yes,31,0,0.145906,0,0,2857.0,0,416.85344200000003
Yes,49,1,0.253484,0,0,5380.0,2,1363.74392
No,61,0,0.0025,0,0,10000.0,1,25.0
Yes,58,0,0.414729,0,0,6666.0,0,2764.583514
No,49,2,0.026402999999999996,0,0,3900.0,0,102.97169999999998
No,78,0,0.262785,0,0,4516.0,0,1186.73706
No,41,0,0.321686,0,0,9300.0,0,2991.6798000000003
Yes,26,0,0.1204,0,0,2200.0,0,264.88
Yes,60,0,0.148305,0,0,5427.0,1,804.851235
Yes,63,1,0.106072,2,0,5467.0,0,579.895624
Yes,47,0,0.22120599999999999,2,0,5573.0,2,1232.7810379999999
Yes,42,2,0.5818840000000001,0,0,5000.0,0,2909.4200000000005
No,37,0,0.513795,0,0,9314.0,0,4785.48663
No,54,0,0.260895,0,0,12000.0,2,3130.74
No,59,0,0.423551,0,1,3243.0,0,1373.575893
No,74,0,0.279016,0,0,1300.0,0,362.7208
No,88,1,664.0,0,0,6452.263399231191,0,4284302.897089511
No,31,0,0.309669,0,0,10000.0,0,3096.69
No,53,0,0.572932,1,0,5984.0,1,3428.425088
Yes,35,2,2323.0,3,1,6452.263399231191,0,14988607.876414057
